diameter,closeness,clustering,betweenness,edit count,editor count,article size
26,0.15424229797092034,0.0679328167080626,0.0016721718021366126,9559,3490,134256
32,0.15396580100928586,0.06605701342064904,0.0050543698898833644,2871,1184,94764
39,0.13101392222947542,0.033089857022707,0.003018572073619669,4844,2359,89884
37,0.12206065388708794,0.05690392291698882,0.007460154094072736,2468,1042,98725
24,0.17065840861154846,0.047584764093571146,0.009609957985470983,1291,561,54797
23,0.19778050929898489,0.18851139678423362,0.009516836857218885,2085,477,87770
51,0.11820404503059888,0.0469782709705047,0.0035907800813926756,6114,2308,104126
34,0.11059089148721546,0.0205240448217803,0.013378788083893521,1237,643,49783
29,0.139305822442566,0.058860343915505466,0.00205410527669806,7653,3204,103035
45,0.11915436274231608,0.04429663951743727,0.0030251620527063663,6302,2652,121870
27,0.14850741235525683,0.03820266607472198,0.0015742033674201838,9537,3827,203418
83,0.08062734852755929,0.025431815698376853,0.010404177701135265,2371,1250,50061
44,0.16026741570055697,0.09510179935555528,0.0030124704569011976,4326,1930,66491
38,0.09409155177186768,0.04462042261936292,0.056746327994928215,465,190,37792
24,0.17629191574102562,0.11488496252040044,0.017183901595923774,1046,300,106693
39,0.12003133724491007,0.06595488270548917,0.007869218116963022,2526,1031,133606
42,0.12342709169983539,0.12316652879441926,0.011274996759315915,2404,709,116643
44,0.11339914235285327,0.030211056520823218,0.0038698175443086695,3937,2196,82540
30,0.14797622180473485,0.052035951602697195,0.003533615587606202,4258,1732,102952
30,0.13713941545005054,0.03936633381688838,0.004711598655327298,3428,1430,95575
37,0.1262924094721345,0.033114859439492945,0.003765559876512969,4432,1973,57701
49,0.11942357216246428,0.052201139618339755,0.003207835665874579,5576,2526,103088
55,0.08039768288656168,0.027116320914177462,0.011092005828596409,2850,1103,91884
25,0.17119110044920358,0.09020495872585457,0.001325093976813613,11566,3919,173854
35,0.13923316589035992,0.1048400146647109,0.009192912825971757,2663,746,243998
41,0.13714731521763698,0.09374415029016164,0.010946162814881866,2203,654,67281
59,0.10836912080280738,0.06460648351325174,0.01506296086415057,1384,638,40081
39,0.13402850229704844,0.0402005377617203,0.0019635774799714617,7641,3526,102606
72,0.048774393170812676,0.014271123694711965,0.1064605928215872,423,212,68959
67,0.08285833597008554,0.07773463081202074,0.018624519524318418,1387,695,20777
45,0.16317180701293105,0.08998261816617835,0.002160029220471098,5722,2608,78424
55,0.09807884840696411,0.04498586419897109,0.02445283001550327,804,421,44154
31,0.14924665757642863,0.10021963005829991,0.017825791497165414,1445,357,82372
60,0.1120445154927742,0.02487357316914924,0.003040336762817335,5963,2840,82232
33,0.14417810190143557,0.0734696162905397,0.012828997756304389,1715,510,70803
38,0.11715068092977847,0.028141326016837134,0.0072256515938627485,2285,1122,95031
35,0.13867032007011992,0.05797762315672078,0.004995839961137608,3396,1351,161624
53,0.1533459552762508,0.08812193795335582,0.0017204137103290073,7873,3485,143083
27,0.21398699308206923,0.177057010794342,0.0010240400576459114,13164,3872,137116
57,0.13409634915564136,0.060935777518647635,0.006140778470014339,2987,1225,52059
25,0.1299217694254774,0.050776704545885676,0.039371626465691416,407,190,67046
34,0.11888120984901211,0.07525535728978874,0.014880157992662534,1734,543,85560
35,0.11379421905722409,0.040746742437527586,0.00437057198870743,5193,1899,104437
25,0.15036660562933898,0.05502942184003813,0.0029178268496690006,4895,2059,59724
24,0.14374505915344007,0.04240752194985394,0.006994160898141029,2114,901,89570
30,0.16042651739553732,0.06666494073132587,0.002169926978436239,7014,2570,145868
66,0.07818787882461926,0.03433047167122763,0.03685773131350807,971,385,49674
40,0.11214438548980797,0.07162313801070501,0.034320855640842286,970,264,107266
53,0.0735828975730403,0.022425957602166875,0.04363920841901422,1002,319,57629
79,0.08471710232536314,0.056012178655356154,0.023856175897619764,1560,567,90127
26,0.13734474544737207,0.05966350764073914,0.013611710446841778,1405,501,92384
37,0.1559796274962575,0.07932466569217435,0.004144712698326623,3268,1480,104209
42,0.12326170245945928,0.0327777380861162,0.003916613641765909,4366,1973,73278
31,0.149613129606977,0.054460911667497905,0.003335818777224659,3853,1836,72789
44,0.0993123397804879,0.041573261344801604,0.041208595337525404,924,251,87075
70,0.13784177982848037,0.04487061814578077,0.0024316818002888966,6501,2862,125762
37,0.15615551403845576,0.11822932962276103,0.002427534045197812,6913,2476,99142
27,0.19891524410310438,0.14907209177221,0.002297937930182245,4688,1929,55852
33,0.13020394083213718,0.07948483652501284,0.024977874796276736,1159,296,67504
39,0.13451294478336503,0.07610915161865642,0.003476492522969283,5050,2002,78010
36,0.1472961848503266,0.0563613780925674,0.0031528417830928327,4692,1996,92887
38,0.140188996589243,0.04377831218287472,0.0030348462012669553,4962,2191,92117
39,0.1416843895758447,0.04491320039952816,0.006908393794909319,2366,956,98708
37,0.12728928101855147,0.042032145382087834,0.006270320557952346,3300,1184,132356
68,0.09545384175383392,0.04081377262764282,0.01492545067018268,1680,754,82646
49,0.12544749177123055,0.05109129457329546,0.004158258369125347,4421,1856,112177
39,0.08370226254694721,0.06459018541544839,0.0386053597874549,816,318,43671
43,0.10292836138664548,0.05827672590346839,0.01801928350476955,2153,536,123242
22,0.16005038465024496,0.07532163302315761,0.019280749403305576,1335,300,93916
54,0.15609425983280506,0.102075737345178,0.0033625226481944566,4413,1877,71631
39,0.12945835193220975,0.04890404259312682,0.006958315987578568,2449,1047,69714
47,0.13138294645767773,0.07774386311337601,0.00470697869714128,3978,1551,175350
41,0.13546758717759896,0.09087088439424536,0.02890191346502785,1175,267,117524
40,0.1539812614429205,0.05093406900419221,0.002082084469870278,6528,2913,92898
52,0.12481222441125203,0.03931894062109589,0.003406184621901959,4570,2216,68446
